bathrooms,bedrooms,city,finishedSqFt,id,image,latitude,longitude,lotSizeSqFt,numFloors,numRooms,parkingType,price,school,state,street,useCode,yearBuilt,zipcode,zpid
3.0,4,SAN DIEGO,2241,27,https://photos.zillowstatic.com/p_d/ISqd7wshh4dy6e1000000000.jpg,32.937557,-117.120886,7501,2,,,871711,Westview High School,CA,11894 Mendiola Pt,SingleFamily,1992,92129,16809587
3.0,5,SAN DIEGO,2740,28,https://photos.zillowstatic.com/p_d/IS2f4gnvrsvgun1000000000.jpg,32.936587,-117.121931,7501,2,12,"Garage - Attached, On-street",914785,Westview High School,CA,11874 Meajean Pl,SingleFamily,1995,92129,16809605
3.0,5,SAN DIEGO,2740,29,https://photos.zillowstatic.com/p_d/ISt08bgol37mch1000000000.jpg,32.935784,-117.121657,4497,2,,Garage - Attached,914742,Westview High School,CA,11812 Meajean Pl,SingleFamily,1994,92129,16809611
2.5,4,SAN DIEGO,2356,30,https://photos.zillowstatic.com/p_d/IS2ni4eek7ktoj0000000000.jpg,32.939732,-117.121431,7501,2,,,868915,Westview High School,CA,9406 Chabola Rd,SingleFamily,1991,92129,16810232
3.0,4,SAN DIEGO,2356,31,https://photos.zillowstatic.com/p_d/ISe0xlv105od4s0000000000.jpg,32.941781,-117.119207,7501,2,9,Garage - Attached,862105,Westview High School,CA,9514 Hito Ct,SingleFamily,1993,92129,16810257
3.0,5,SAN DIEGO,2740,32,https://photos.zillowstatic.com/p_d/ISewdkuznds5171000000000.jpg,32.94166,-117.118475,7501,2,,"Garage - Attached, On-street",917266,Westview High School,CA,9535 Hito Ct,SingleFamily,1994,92129,16810267
2.5,4,SAN DIEGO,2356,33,https://photos.zillowstatic.com/p_d/ISado0q61blv1o1000000000.jpg,32.941015,-117.119391,10890,,,,860969,Westview High School,CA,9496 Hito Ct,SingleFamily,1991,92129,16810270
3.0,4,SAN DIEGO,2381,34,https://photos.zillowstatic.com/p_d/IS5avc44kiomj20000000000.jpg,32.94079,-117.121075,4225,,,Garage - Attached,858061,Westview High School,CA,9436 Hito Ct,SingleFamily,1991,92129,16810280
3.0,4,SAN DIEGO,2356,35,https://photos.zillowstatic.com/p_d/ISmaukf62t1n330000000000.jpg,32.939847,-117.121172,4308,2,,,862398,Westview High School,CA,9416 Chabola Rd,SingleFamily,1991,92129,16810304
3.0,4,SAN DIEGO,3046,36,,33.012976,-117.126298,4923,,,,1025969,Del Norte High School,CA,15914 Bass Ln,SingleFamily,2016,92127,120287373
2.5,3,San Diego,1689,37,https://photos.zillowstatic.com/p_d/ISi3iz78vpni7c0000000000.jpg,33.017961,-117.128225,15459,2,,,698704,Del Norte High School,CA,16607 Gill Loop,Townhouse,2015,92127,123185301
6.0,5,San Diego,4883,38,https://photos.zillowstatic.com/p_d/ISybrgzn1bunbo0000000000.jpg,33.009856,-117.128054,21780,2,14,Garage - Attached,1947263,Del Norte High School,CA,16473 Edgehill Rd,SingleFamily,2015,92127,120288059
5.5,5,San Diego,5135,39,https://photos.zillowstatic.com/p_d/ISek8c7gmvskej0000000000.jpg,33.011742,-117.130742,10140,,,Garage - Attached,1826160,Del Norte High School,CA,16474 Newcomb St,SingleFamily,2016,92127,120287945
5.5,5,San Diego,4775,40,https://photos.zillowstatic.com/p_d/ISme5crnml0oyi1000000000.jpg,33.007728,-117.131308,7501,2,,,1801520,Del Norte High School,CA,15895 Wadsworth Pl,SingleFamily,2016,92127,120287616
6.0,5,San Diego,5391,41,https://photos.zillowstatic.com/p_d/IS2fwp99evqmpx0000000000.jpg,33.013424,-117.129541,10890,2,20,"Garage - Attached, On-street",2176093,Del Norte High School,CA,16542 Newcomb St,SingleFamily,2015,92127,120288699
3.0,4,SAN DIEGO,2771,42,https://photos.zillowstatic.com/p_d/ISeo3vlxo6h2fu0000000000.jpg,33.013902,-117.132693,7501,2,9,Garage - Attached,984996,Del Norte High School,CA,15561 Tanner Ridge Rd,SingleFamily,2013,92127,119855432
4.5,4,SAN DIEGO,3423,43,https://photos.zillowstatic.com/p_d/ISqxmt4kdvenxd1000000000.jpg,33.009479,-117.136126,6756,2,,,1169635,Del Norte High School,CA,15381 Tanner Ridge Cir,SingleFamily,2015,92127,119907046
6.0,5,SAN DIEGO,3799,44,https://photos.zillowstatic.com/p_d/ISmmj0q43u2qdo1000000000.jpg,33.009576,-117.135934,7501,2,15,Garage - Attached,1417501,Del Norte High School,CA,15375 Tanner Ridge Cir,SingleFamily,2015,92127,119907381
3.0,4,SAN DIEGO,2589,45,https://photos.zillowstatic.com/p_d/ISa1repl5w2ygl1000000000.jpg,33.017995,-117.131092,7501,2,10,"Garage - Attached, On-street",1006033,Del Norte High School,CA,15941 Babcock St,SingleFamily,2014,92127,119977303
5.5,5,SAN DIEGO,4152,46,https://photos.zillowstatic.com/p_d/ISyrn8nv82d6m81000000000.jpg,33.016578,-117.128683,10890,2,,,1526960,Del Norte High School,CA,15785 Babcock St,SingleFamily,2013,92127,119977721
6.0,5,SAN DIEGO,4399,47,https://photos.zillowstatic.com/p_d/ISynoaa2pnaow60000000000.jpg,33.006836,-117.129249,10890,2,,,1873614,Del Norte High School,CA,15943 Sherwin Pl,SingleFamily,2016,92127,120286954
3.5,4,SAN DIEGO,2928,48,https://photos.zillowstatic.com/p_d/IS6eee9doby10p0000000000.jpg,33.010841,-117.128437,7501,2,,,1177956,Del Norte High School,CA,16490 Edgehill Rd,SingleFamily,2015,92127,120287079
3.5,4,SAN DIEGO,3101,49,https://photos.zillowstatic.com/p_d/IS6q32y3zoag5k0000000000.jpg,33.01342,-117.128522,6664,2,,Garage - Attached,1175863,Del Norte High School,CA,16559 Newcomb St,SingleFamily,2016,92127,120287537
3.0,3,SAN DIEGO,1940,50,https://photos.zillowstatic.com/p_d/ISmqezsr6yvl051000000000.jpg,33.016868,-117.130161,3998,2,6,Garage - Attached,843064,Del Norte High School,CA,15843 Babcock St,SingleFamily,2014,92127,120287593
3.0,4,SAN DIEGO,2695,51,https://photos.zillowstatic.com/p_d/ISmq6pz3mhvypi1000000000.jpg,33.011636,-117.128343,7501,2,,,1013414,Del Norte High School,CA,15892 Wakefield Ln,SingleFamily,2015,92127,120287738
3.0,3,SAN DIEGO,1940,52,,33.016969,-117.130336,2795,,,,850348,Del Norte High School,CA,15855 Babcock St,SingleFamily,2015,92127,120288259
4.0,4,SAN DIEGO,2537,53,https://photos.zillowstatic.com/p_d/ISq5tfc038mdvu1000000000.jpg,33.011992,-117.128956,5227,2,,,986753,Del Norte High School,CA,15852 Wakefield Ln,SingleFamily,2015,92127,120288262
3.0,4,Coronado,2283,54,https://photos.zillowstatic.com/p_d/ISmikeq5p0hpq21000000000.jpg,32.691054,-117.172283,4133,2,,"Carport, Garage - Attached",2200456,Coronado High School,CA,523 A Ave,SingleFamily,1930,92118,17070979
3.0,3,CORONADO,2015,55,https://photos.zillowstatic.com/p_d/ISdcq47miall2z0000000000.jpg,32.701397,-117.179551,3484,2,,Garage - Detached,2096636,Coronado High School,CA,112 I Ave,SingleFamily,2014,92118,17069256
3.0,3,CORONADO,2543,56,https://photos.zillowstatic.com/p_d/ISyr39q26cg78k1000000000.jpg,32.700201,-117.180918,10890,1,,"Garage - Attached, Off-street",2551198,Coronado High School,CA,200 Palm Ave,SingleFamily,1935,92118,17069606
4.0,4,CORONADO,3862,57,https://photos.zillowstatic.com/p_d/ISalidmeltgzoh1000000000.jpg,32.698939,-117.177516,5844,2,8,"Garage - Attached, Off-street, On-street",2500148,Coronado High School,CA,700 2nd St,SingleFamily,1980,92118,17069669
2.0,3,CORONADO,1509,58,https://photos.zillowstatic.com/p_d/ISec6xb5smycsw0000000000.jpg,32.69829,-117.177933,3998,1,5,Garage - Attached,1539370,Coronado High School,CA,245 G Ave,SingleFamily,1981,92118,17069676
3.0,4,CORONADO,2395,59,https://photos.zillowstatic.com/p_d/ISapxvpau9yk0o1000000000.jpg,32.698043,-117.175325,3340,2,8,"Carport, Garage - Attached",2240877,Coronado High School,CA,900 2nd St,SingleFamily,2006,92118,17069727
4.0,4,CORONADO,2320,60,https://photos.zillowstatic.com/p_d/ISma2btw2lboa21000000000.jpg,32.697212,-117.175733,7501,1,8,Garage - Detached,2080745,Coronado High School,CA,255 E Ave,SingleFamily,1944,92118,17069736
3.0,5,CORONADO,2120,61,https://photos.zillowstatic.com/p_d/ISqp0bhpjn8hu01000000000.jpg,32.696654,-117.175305,3680,2,11,,1565198,Coronado High School,CA,272 D Ave,SingleFamily,1944,92118,17069754
4.0,4,CORONADO,2118,62,https://photos.zillowstatic.com/p_d/ISynkb0sh767x00000000000.jpg,32.696136,-117.171954,3484,2,,Garage - Attached,1776411,Coronado High School,CA,231 C Ave,SingleFamily,2000,92118,17069840
2.0,4,CORONADO,2080,63,https://photos.zillowstatic.com/p_d/ISapdgcudt06ra0000000000.jpg,32.694964,-117.169433,3484,2,,Garage - Attached,1419003,Coronado High School,CA,235 El Chico Ln,SingleFamily,1956,92118,17069900
3.5,4,CORONADO,2047,64,https://photos.zillowstatic.com/p_d/ISpxevoqeejq8y0000000000.jpg,32.698735,-117.183062,6786,,,Garage - Attached,1634045,Coronado High School,CA,345 Alameda Blvd,SingleFamily,1934,92118,17069915
3.0,3,CORONADO,2033,65,https://photos.zillowstatic.com/p_d/ISmayr7c0udml21000000000.jpg,32.698166,-117.181437,3500,2,10,Garage - Detached,1502686,Coronado High School,CA,340 I Ave,SingleFamily,1961,92118,17069953
2.0,2,CORONADO,1345,66,https://photos.zillowstatic.com/p_d/ISew5u8fu21tat0000000000.jpg,32.697232,-117.179061,3998,2,6,,1302742,Coronado High School,CA,334 G Ave,SingleFamily,1924,92118,17069993
2.0,4,CORONADO,2172,67,https://photos.zillowstatic.com/p_d/IS5i1r9d05skfd0000000000.jpg,32.694027,-117.173303,7323,2,,Garage - Attached,1879995,Coronado High School,CA,1201 4th St,SingleFamily,1940,92118,17070203
6.0,6,CORONADO,3560,68,https://photos.zillowstatic.com/p_d/ISukbfhd16q45h1000000000.jpg,32.69371,-117.171414,5400,2,,"Garage - Attached, On-street",2602102,Coronado High School,CA,340 A Ave,SingleFamily,2013,92118,17070238
3.0,5,San Diego,1976,69,,32.696694,-117.186318,12570,1,8,Garage - Attached,2364642,Coronado High School,CA,530 Country Club Ln,SingleFamily,1963,92118,17070298
