bathrooms,bedrooms,city,finishedSqFt,id,image,latitude,longitude,lotSizeSqFt,numFloors,numRooms,parkingType,price,school,state,street,useCode,yearBuilt,zipcode,zpid
2.0,4,CARLSBAD,1791,114,https://photos.zillowstatic.com/p_d/ISewli6ql0oye61000000000.jpg,33.162422,-117.312777,10890,,,,862538,Sage Creek High School,CA,2618 Half Dome Pl,SingleFamily,1986,92010,16620683
3.0,3,CARLSBAD,1855,115,https://photos.zillowstatic.com/p_d/ISesuuy9yxs2zr0000000000.jpg,33.163007,-117.312205,8276,2,15,Garage - Attached,,Sage Creek High School,CA,2631 Sausalito Ave,SingleFamily,1989,92010,16620738
3.0,5,CARLSBAD,3039,116,https://photos.zillowstatic.com/p_d/ISivvc9m9ogcot0000000000.jpg,33.162537,-117.311336,8712,2,8,Garage - Attached,925425,Sage Creek High School,CA,2653 Sausalito Ave,SingleFamily,1989,92010,16620741
2.0,3,CARLSBAD,1797,117,https://photos.zillowstatic.com/p_d/ISib035110c4hr1000000000.jpg,33.164346,-117.308888,21780,1,,,862804,Sage Creek High School,CA,2732 Berkeley Ave,SingleFamily,1989,92010,16621193
2.5,4,Carlsbad,2067,118,https://photos.zillowstatic.com/p_d/ISe05005jc16ha1000000000.jpg,33.163051,-117.305213,10890,,,,781267,Sage Creek High School,CA,4370 Stanford St,SingleFamily,1988,92010,16621218
3.0,4,CARLSBAD,1591,119,https://photos.zillowstatic.com/p_d/ISindhq9czu7g10000000000.jpg,33.157626,-117.313126,3920,,,,649327,Sage Creek High School,CA,4415 Sierra Morena Ave,SingleFamily,1977,92010,16650290
3.0,3,CARLSBAD,1581,120,https://photos.zillowstatic.com/p_d/ISu0wlgeuqri1n1000000000.jpg,33.159134,-117.313555,3120,,,"Garage - Attached, Off-street, On-street",650884,Sage Creek High School,CA,4304 Sierra Morena Ave,SingleFamily,1979,92010,16650317
2.5,3,CARLSBAD,1401,121,https://photos.zillowstatic.com/p_d/ISu4bwpl5cm1mn0000000000.jpg,33.159914,-117.31461,3998,2,,,585605,Sage Creek High School,CA,4203 Sierra Morena Ave,SingleFamily,1979,92010,16650358
2.0,3,CARLSBAD,1812,122,https://photos.zillowstatic.com/p_d/ISyrzt3w0ndzi10000000000.jpg,33.161721,-117.298751,10890,,,,796890,Sage Creek High School,CA,4742 Inverness Ct,SingleFamily,1982,92010,16650372
3.0,3,CARLSBAD,2070,123,https://photos.zillowstatic.com/p_d/IS2nelsdt4v5a51000000000.jpg,33.161382,-117.299814,10890,1,9,Garage - Attached,895473,Sage Creek High School,CA,4747 Edinburgh Dr,SingleFamily,1983,92010,16650432
3.0,4,CARLSBAD,2402,124,https://photos.zillowstatic.com/p_d/ISyrfavci7z4721000000000.jpg,33.158609,-117.301635,10890,2,,Garage - Attached,901917,Sage Creek High School,CA,4729 Gateshead Rd,SingleFamily,1984,92010,16650447
2.0,3,CARLSBAD,1476,125,https://photos.zillowstatic.com/p_d/IS2rha5cvtw4cz0000000000.jpg,33.159322,-117.300388,10890,,,,723626,Sage Creek High School,CA,2721 Greenock Ct,SingleFamily,1983,92010,16650472
2.0,3,CARLSBAD,1500,126,,33.159771,-117.301578,7840,1,,Garage - Attached,782043,Sage Creek High School,CA,2718 Inverness Dr,SingleFamily,1983,92010,16650479
2.0,3,CARLSBAD,1868,127,https://photos.zillowstatic.com/p_d/IS27e6gk55y84y0000000000.jpg,33.159649,-117.299397,10890,1,,,819261,Sage Creek High School,CA,4771 Brookwood Ct,SingleFamily,1986,92010,16650502
2.0,3,CARLSBAD,1624,128,https://photos.zillowstatic.com/p_d/IS272h8si5ekit1000000000.jpg,33.160162,-117.312887,10643,1,10,Garage - Attached,721103,Sage Creek High School,CA,4431 Salisbury Dr,SingleFamily,1986,92010,16650564
3.0,3,San Diego,1965,129,https://photos.zillowstatic.com/p_d/ISir41jjdrhc8t0000000000.jpg,33.007191,-117.071114,7501,2,8,Garage - Attached,748893,Rancho Bernardo High School,CA,12190 Iron View Row,SingleFamily,1986,92128,16746117
2.0,3,SAN DIEGO,1747,130,https://photos.zillowstatic.com/p_d/ISqdz5vz17m7ac1000000000.jpg,33.012099,-117.063384,6000,1,7,"Garage - Attached, On-street",606885,Rancho Bernardo High School,CA,16448 Felice Dr,SingleFamily,1960,92128,16743314
2.0,2,SAN DIEGO,1770,131,https://photos.zillowstatic.com/p_d/ISq16f9mb9qfh90000000000.jpg,33.008871,-117.061587,7700,1,,,623618,Rancho Bernardo High School,CA,12403 Lomica Dr,SingleFamily,1969,92128,16743442
2.0,2,SAN DIEGO,1770,132,,33.008476,-117.060456,8100,1,,Garage - Attached,625799,Rancho Bernardo High School,CA,12492 Nacido Dr,SingleFamily,1972,92128,16743690
2.0,2,SAN DIEGO,1770,133,https://photos.zillowstatic.com/p_d/IS2vws888n1czi1000000000.jpg,33.007499,-117.057915,10890,1,5,Garage - Attached,647790,Rancho Bernardo High School,CA,12585 Nacido Dr,SingleFamily,1972,92128,16743696
2.5,3,SAN DIEGO,2223,134,https://photos.zillowstatic.com/p_d/ISynsp47qojpwk0000000000.jpg,33.014228,-117.065561,7501,,,,744141,Rancho Bernardo High School,CA,12276 Casero Ct,SingleFamily,1963,92128,16744403
2.0,2,SAN DIEGO,1770,135,https://photos.zillowstatic.com/p_d/ISyngseraagu5n1000000000.jpg,33.007373,-117.061516,7405,1,,Garage - Attached,621127,Rancho Bernardo High School,CA,16204 Selva Dr,SingleFamily,1970,92128,16744604
2.0,2,SAN DIEGO,1770,136,https://photos.zillowstatic.com/p_d/IS27ytff2et4h40000000000.jpg,33.007162,-117.062281,7501,1,,,661764,Rancho Bernardo High School,CA,12404 Oliva Rd,SingleFamily,1970,92128,16744610
2.0,3,SAN DIEGO,1926,137,https://photos.zillowstatic.com/p_d/ISqltq198wzy441000000000.jpg,33.006511,-117.061961,10890,,,,707234,Rancho Bernardo High School,CA,16172 Selva Dr,SingleFamily,1970,92128,16744649
2.0,2,SAN DIEGO,1709,138,https://photos.zillowstatic.com/p_d/IS23jbwi6xf7ov0000000000.jpg,33.006028,-117.061597,12200,1,7,,668606,Rancho Bernardo High School,CA,16167 Selva Dr,SingleFamily,1970,92128,16744687
2.0,2,SAN DIEGO,1770,139,https://photos.zillowstatic.com/p_d/ISqpg7t037e3530000000000.jpg,33.008772,-117.056852,7501,1,4,"Garage - Attached, Off-street",649239,Rancho Bernardo High School,CA,16291 Gabarda Rd,SingleFamily,1972,92128,16744712
2.0,2,SAN DIEGO,1770,140,https://photos.zillowstatic.com/p_d/ISijyiu80wgjm20000000000.jpg,33.008273,-117.058014,10890,1,,Garage - Attached,648366,Rancho Bernardo High School,CA,12585 Lomica Dr,SingleFamily,1972,92128,16744739
2.0,3,San Diego,1905,141,https://photos.zillowstatic.com/p_d/IS2vs1l86e9zsr0000000000.jpg,33.010298,-117.058214,7900,1,7,Garage - Attached,690788,Rancho Bernardo High School,CA,16332 Relindo Ct,SingleFamily,1972,92128,16744761
2.0,3,SAN DIEGO,1905,142,https://photos.zillowstatic.com/p_d/ISyrbnq6zkdtel1000000000.jpg,33.0101,-117.057522,7501,1,,,650011,Rancho Bernardo High School,CA,12622 Bendito Dr,SingleFamily,1972,92128,16744778
2.0,3,SAN DIEGO,1770,143,https://photos.zillowstatic.com/p_d/ISukrrdvvn2sez0000000000.jpg,33.012838,-117.059166,10890,1,,,693534,Rancho Bernardo High School,CA,12523 Palero Rd,SingleFamily,1972,92128,16744828
3.0,4,SAN DIEGO,2724,144,https://photos.zillowstatic.com/p_d/ISeciyg7q7fkcy0000000000.jpg,33.010032,-117.074432,7501,2,,,857051,Rancho Bernardo High School,CA,16368 Avenida Suavidad,SingleFamily,1986,92128,16745646
3.0,4,SAN DIEGO,2457,145,https://photos.zillowstatic.com/p_d/IS1f0h1g086sxk1000000000.jpg,33.00864,-117.0745,10890,2,8,Garage - Attached,843616,Rancho Bernardo High School,CA,16295 Avenida Suavidad,SingleFamily,1985,92128,16745677
2.0,3,SAN DIEGO,1877,146,https://photos.zillowstatic.com/p_d/ISu4zewdyddecq1000000000.jpg,33.008874,-117.073889,10890,1,5,"Garage - Attached, Off-street",747119,Rancho Bernardo High School,CA,11939 Calle Suntuoso,SingleFamily,1984,92128,16745681
3.0,4,SAN DIEGO,2761,147,https://photos.zillowstatic.com/p_d/ISq1ule1c9is3j1000000000.jpg,33.010821,-117.067853,7501,2,,"Garage - Attached, Off-street",965222,Rancho Bernardo High School,CA,12186 Avenida Consentido,SingleFamily,1987,92128,16745706
2.0,3,SAN DIEGO,2122,148,https://photos.zillowstatic.com/p_d/ISyngsu3rns69j0000000000.jpg,33.012073,-117.071694,7095,,,,802454,Rancho Bernardo High School,CA,16484 Calle Pulido,SingleFamily,1987,92128,16745738
3.0,3,La Jolla,3379,149,https://photos.zillowstatic.com/p_d/ISqpccqeyfujcf0000000000.jpg,32.851909,-117.24294,39640,3,10,,2667931,Preuss School UCSD,CA,7799 Starlight Dr,SingleFamily,1978,92037,16839752
4.0,5,La Jolla,2820,150,https://photos.zillowstatic.com/p_d/IS2rdbjkiqelwb1000000000.jpg,32.847271,-117.258351,10018,,,,2207638,Preuss School UCSD,CA,2005 Soledad Ave,SingleFamily,1940,92037,16851267
2.0,3,LA JOLLA,2958,151,https://photos.zillowstatic.com/p_d/ISu0wxxzflchin0000000000.jpg,32.862791,-117.25272,10890,,9,Carport,2737160,Preuss School UCSD,CA,8553 La Jolla Shores Dr,SingleFamily,1959,92037,16838533
3.0,5,LA JOLLA,2573,152,https://photos.zillowstatic.com/p_d/ISq90wsid31dul1000000000.jpg,32.859929,-117.251922,24393,1,,Garage - Attached,3580111,Preuss School UCSD,CA,2360 Calle Del Oro,SingleFamily,1955,92037,16838544
3.0,5,LA JOLLA,3870,153,https://photos.zillowstatic.com/p_d/IS2znsdmdex0qv1000000000.jpg,32.859955,-117.247115,20037,2,12,Garage - Attached,2536272,Preuss School UCSD,CA,8433 Prestwick Dr,SingleFamily,1970,92037,16838563
5.0,4,LA JOLLA,4690,154,,32.854402,-117.251232,21780,1,,Garage - Attached,3872766,Preuss School UCSD,CA,2416 Avenida De La Playa,SingleFamily,1966,92037,16838948
4.0,5,LA JOLLA,3814,155,https://photos.zillowstatic.com/p_d/ISybrwzuzxv3wu0000000000.jpg,32.853327,-117.253028,24393,1,,Garage - Detached,3807190,Preuss School UCSD,CA,2315 Avenida De La Playa,SingleFamily,1965,92037,16839052
3.0,4,LA JOLLA,2452,156,https://photos.zillowstatic.com/p_d/ISuk3tqjgbp6350000000000.jpg,32.84886,-117.254723,10890,1,9,Garage - Attached,2478848,Preuss School UCSD,CA,7780 Roseland Dr,SingleFamily,1950,92037,16839282
4.0,4,LA JOLLA,3634,157,https://photos.zillowstatic.com/p_d/ISyjpgcb8mhcxl0000000000.jpg,32.848315,-117.25459,19166,1,,Garage - Detached,2751199,Preuss School UCSD,CA,11 E Roseland Dr,SingleFamily,1955,92037,16839408
6.0,4,LA JOLLA,3900,158,https://photos.zillowstatic.com/p_d/ISyfqivurzfq0c1000000000.jpg,32.845156,-117.246852,54885,1,,,4150536,Preuss School UCSD,CA,2810 Hidden Valley Rd,SingleFamily,1955,92037,16839671
5.5,5,LA JOLLA,4518,159,https://photos.zillowstatic.com/p_d/IS2f8f5chjq1dr1000000000.jpg,32.846308,-117.250037,43560,,,Garage - Attached,4145374,Preuss School UCSD,CA,2695 Hidden Valley Rd,SingleFamily,2018,92037,16839697
3.0,3,LA JOLLA,3044,160,https://photos.zillowstatic.com/p_d/IS62dtuekqds8q1000000000.jpg,32.84968,-117.245655,20126,2,12,"Carport, Off-street",1881148,Preuss School UCSD,CA,7834 Esterel Dr,SingleFamily,1965,92037,16839723
5.0,5,LA JOLLA,6242,161,https://photos.zillowstatic.com/p_d/ISybvjk1uryuvs1000000000.jpg,32.850805,-117.24263,23958,,,Garage - Attached,4327476,Preuss School UCSD,CA,7777 Starlight Dr,SingleFamily,1987,92037,16839762
3.0,5,LA JOLLA,2552,162,https://photos.zillowstatic.com/p_d/IS1jbkeqhue5yo1000000000.jpg,32.863329,-117.24427,13329,1,,,1835796,Preuss School UCSD,CA,2883 Inverness Dr,SingleFamily,1968,92037,16839793
3.0,4,LA JOLLA,2522,163,https://photos.zillowstatic.com/p_d/IS2bp1z5xwf6zi1000000000.jpg,32.861417,-117.24629,10318,1,12,Garage - Attached,1834448,Preuss School UCSD,CA,2732 Inverness Dr,SingleFamily,1968,92037,16839832
2.5,4,LA JOLLA,2612,164,,32.860796,-117.241839,10890,1,,,1686132,Preuss School UCSD,CA,2835 Cliffridge Ct,SingleFamily,1971,92037,16839908
3.0,4,LA JOLLA,2784,165,https://photos.zillowstatic.com/p_d/IS-1m92oxs5wq7od.jpg,32.861826,-117.238661,10200,1,9,Garage - Attached,1950918,Preuss School UCSD,CA,3036 Cranbrook Ct,SingleFamily,1961,92037,16840172
3.0,4,LA JOLLA,3012,166,https://photos.zillowstatic.com/p_d/ISifjolgxo3esa1000000000.jpg,32.847118,-117.267852,10890,2,,Garage - Attached,2233336,Preuss School UCSD,CA,1466 Torrey Pines Rd,SingleFamily,1953,92037,16848192
3.0,3,LA JOLLA,2152,167,,32.846034,-117.265496,14540,2,,Garage - Attached,3056980,Preuss School UCSD,CA,7709 Prospect Pl,SingleFamily,1952,92037,16848223
2.5,3,SAN DIEGO,1882,168,https://photos.zillowstatic.com/p_d/ISu8aue8c1zgkf0000000000.jpg,32.945026,-117.1124,9600,,,Garage - Attached,714254,Mt. Carmel High School,CA,9645 Paseo Montril,SingleFamily,1974,92129,16805410
3.0,3,SAN DIEGO,1882,169,https://photos.zillowstatic.com/p_d/ISq5lt17h3se0a0000000000.jpg,32.945377,-117.111474,10890,2,6,"Garage - Attached, Off-street",732983,Mt. Carmel High School,CA,9695 Paseo Montril,SingleFamily,1974,92129,16805415
3.0,4,SAN DIEGO,2304,170,https://photos.zillowstatic.com/p_d/IS1znwkqc5rto31000000000.jpg,32.948264,-117.110634,7501,2,11,"Garage - Attached, Off-street",819625,Mt. Carmel High School,CA,12719 Mengibar Ave,SingleFamily,1977,92129,16805542
3.0,3,SAN DIEGO,2042,171,https://photos.zillowstatic.com/p_d/ISmepb41cr55yr0000000000.jpg,32.945853,-117.1153,6674,2,,,773338,Mt. Carmel High School,CA,12546 Cabezon Pl,SingleFamily,1978,92129,16805611
2.5,4,SAN DIEGO,2049,172,,32.944398,-117.114404,7501,,,,781840,Mt. Carmel High School,CA,12436 Via Cabezon,SingleFamily,1975,92129,16805667
3.0,4,SAN DIEGO,2486,173,https://photos.zillowstatic.com/p_d/IS66klwh67hgq40000000000.jpg,32.949696,-117.114936,10890,2,10,"Garage - Attached, Off-street",851767,Mt. Carmel High School,CA,9830 La Tortola Ct,SingleFamily,1984,92129,16807904
3.0,4,SAN DIEGO,2292,174,https://photos.zillowstatic.com/p_d/IS2fc6xa9bzpko1000000000.jpg,32.947245,-117.115788,7501,2,9,Garage - Attached,853865,Mt. Carmel High School,CA,12626 La Tortola,SingleFamily,1983,92129,16807936
2.0,3,SAN DIEGO,1571,175,https://photos.zillowstatic.com/p_d/IS6eummt9fudp71000000000.jpg,32.948544,-117.115055,10890,,,,741942,Mt. Carmel High School,CA,9830 La Tortola Pl,SingleFamily,1983,92129,16807956
3.0,4,SAN DIEGO,2190,176,https://photos.zillowstatic.com/p_d/ISmi4iihql64zl0000000000.jpg,32.942133,-117.116791,7501,2,7,,839688,Mt. Carmel High School,CA,12257 Branicole Ln,SingleFamily,1990,92129,16809506
3.0,4,SAN DIEGO,2042,177,https://photos.zillowstatic.com/p_d/ISq1mz3k70z8xa0000000000.jpg,32.939754,-117.115913,7501,2,,Garage - Attached,801167,Mt. Carmel High School,CA,12189 Branicole Ln,SingleFamily,1990,92129,16809522
3.0,4,SAN DIEGO,2241,178,https://photos.zillowstatic.com/p_d/ISqd7wshh4dy6e1000000000.jpg,32.937557,-117.120886,7501,2,,,871711,Mt. Carmel High School,CA,11894 Mendiola Pt,SingleFamily,1992,92129,16809587
3.0,5,SAN DIEGO,2740,179,https://photos.zillowstatic.com/p_d/IS2f4gnvrsvgun1000000000.jpg,32.936587,-117.121931,7501,2,12,"Garage - Attached, On-street",914785,Mt. Carmel High School,CA,11874 Meajean Pl,SingleFamily,1995,92129,16809605
3.0,5,SAN DIEGO,2740,180,https://photos.zillowstatic.com/p_d/ISt08bgol37mch1000000000.jpg,32.935784,-117.121657,4497,2,,Garage - Attached,914742,Mt. Carmel High School,CA,11812 Meajean Pl,SingleFamily,1994,92129,16809611
2.5,4,SAN DIEGO,2356,181,https://photos.zillowstatic.com/p_d/IS2ni4eek7ktoj0000000000.jpg,32.939732,-117.121431,7501,2,,,868915,Mt. Carmel High School,CA,9406 Chabola Rd,SingleFamily,1991,92129,16810232
3.0,4,SAN DIEGO,2356,182,https://photos.zillowstatic.com/p_d/ISe0xlv105od4s0000000000.jpg,32.941781,-117.119207,7501,2,9,Garage - Attached,862105,Mt. Carmel High School,CA,9514 Hito Ct,SingleFamily,1993,92129,16810257
3.0,5,SAN DIEGO,2740,183,https://photos.zillowstatic.com/p_d/ISewdkuznds5171000000000.jpg,32.94166,-117.118475,7501,2,,"Garage - Attached, On-street",917266,Mt. Carmel High School,CA,9535 Hito Ct,SingleFamily,1994,92129,16810267
2.5,4,SAN DIEGO,2356,184,https://photos.zillowstatic.com/p_d/ISado0q61blv1o1000000000.jpg,32.941015,-117.119391,10890,,,,860969,Mt. Carmel High School,CA,9496 Hito Ct,SingleFamily,1991,92129,16810270
3.0,4,SAN DIEGO,2381,185,https://photos.zillowstatic.com/p_d/IS5avc44kiomj20000000000.jpg,32.94079,-117.121075,4225,,,Garage - Attached,858061,Mt. Carmel High School,CA,9436 Hito Ct,SingleFamily,1991,92129,16810280
3.0,4,SAN DIEGO,2356,186,https://photos.zillowstatic.com/p_d/ISmaukf62t1n330000000000.jpg,32.939847,-117.121172,4308,2,,,862398,Mt. Carmel High School,CA,9416 Chabola Rd,SingleFamily,1991,92129,16810304
3.0,5,San Diego,2383,187,,32.851698,-117.211562,7100,,,Garage - Attached,991334,Mt. Everest Academy,CA,3521 Stetson Ave,SingleFamily,1965,92122,16844342
2.0,3,SAN DIEGO,1468,188,https://photos.zillowstatic.com/p_d/ISir8sudbuzhh30000000000.jpg,32.853305,-117.218862,7501,,,,785746,Mt. Everest Academy,CA,3146 Briand Ave,SingleFamily,1962,92122,16841991
2.0,3,SAN DIEGO,1909,189,https://photos.zillowstatic.com/p_d/ISirwynfxaausk1000000000.jpg,32.852511,-117.219161,6534,1,6,,832809,Mt. Everest Academy,CA,3118 Ducommun Ave,SingleFamily,1963,92122,16842048
2.0,3,SAN DIEGO,1286,190,https://photos.zillowstatic.com/p_d/ISekwys6308fui0000000000.jpg,32.847627,-117.198308,10890,,,,775248,Mt. Everest Academy,CA,5841 Dirac St,SingleFamily,1964,92122,16843353
2.0,3,SAN DIEGO,1204,191,,32.857585,-117.193997,5700,1,,,740945,Mt. Everest Academy,CA,4645 Ramsay Ave,SingleFamily,1963,92122,16843874
2.0,4,SAN DIEGO,1400,192,https://photos.zillowstatic.com/p_d/ISuchid6lu2plx0000000000.jpg,32.858348,-117.192965,5700,1,7,Garage - Attached,766388,Mt. Everest Academy,CA,4738 Pauling Ave,SingleFamily,1962,92122,16843889
2.0,4,SAN DIEGO,1539,193,https://photos.zillowstatic.com/p_d/ISir8g5qis59g31000000000.jpg,32.854622,-117.206509,6500,1,9,"Carport, Off-street, On-street",791786,Mt. Everest Academy,CA,3780 Governor Dr,SingleFamily,1963,92122,16843994
2.0,3,SAN DIEGO,1064,194,https://photos.zillowstatic.com/p_d/IS2bhblvs0ixdi0000000000.jpg,32.855306,-117.206738,6300,1,,,760184,Mt. Everest Academy,CA,3784 Millikin Ave,SingleFamily,1963,92122,16844006
2.0,4,SAN DIEGO,1319,195,https://photos.zillowstatic.com/p_d/ISi7tq35585ccy0000000000.jpg,32.855127,-117.208054,7100,,,,824504,Mt. Everest Academy,CA,3723 Cascade Ct,SingleFamily,1963,92122,16844031
2.0,3,SAN DIEGO,1204,196,https://photos.zillowstatic.com/p_d/ISa91gbubhfzl40000000000.jpg,32.858841,-117.189599,5800,1,,Garage - Attached,779972,Mt. Everest Academy,CA,7228 Werner St,SingleFamily,1964,92122,16844185
2.0,3,SAN DIEGO,1204,197,https://photos.zillowstatic.com/p_d/ISucpwhl5vs7xw0000000000.jpg,32.858325,-117.189372,10890,,,Carport,752039,Mt. Everest Academy,CA,7217 Werner St,SingleFamily,1964,92122,16844208
2.5,4,SAN DIEGO,1698,198,https://photos.zillowstatic.com/p_d/ISucdr572jtgax0000000000.jpg,32.853217,-117.199606,7501,,,,812989,Mt. Everest Academy,CA,4244 Pavlov Ave,SingleFamily,1969,92122,16844525
2.5,4,SAN DIEGO,1698,199,https://photos.zillowstatic.com/p_d/ISe446zczz96at1000000000.jpg,32.84959,-117.203123,7501,3,,,926573,Mt. Everest Academy,CA,6125 Tamilynn St,SingleFamily,1969,92122,16844616
2.0,4,SAN DIEGO,1791,200,,32.851445,-117.200606,7501,1,7,Garage - Attached,933496,Mt. Everest Academy,CA,6062 Charae St,SingleFamily,1968,92122,16844690
2.0,4,SAN DIEGO,1648,201,https://photos.zillowstatic.com/p_d/ISewdwbh6dadbc1000000000.jpg,32.85257,-117.199626,7300,1,6,Garage - Attached,891197,Mt. Everest Academy,CA,6159 Charae St,SingleFamily,1969,92122,16844699
3.0,5,SAN DIEGO,2169,202,https://photos.zillowstatic.com/p_d/ISizeuqbjnxnvt0000000000.jpg,32.847406,-117.200145,10890,,,,869554,Mt. Everest Academy,CA,4310 Cozzens Ct,SingleFamily,1969,92122,16844792
3.0,4,OCEANSIDE,2673,203,https://photos.zillowstatic.com/p_d/ISyrzpwjfdso5x0000000000.jpg,33.252665,-117.252881,10890,1,10,Garage - Attached,719667,Mission Vista High School,CA,5851 Ranch View Rd,SingleFamily,2000,92057,16590095
3.0,4,OCEANSIDE,2462,204,https://photos.zillowstatic.com/p_d/ISmqim5c2ow9gr1000000000.jpg,33.252654,-117.252549,10890,2,7,Garage - Attached,676915,Mission Vista High School,CA,5855 Ranch View Rd,SingleFamily,1992,92057,16590094
3.0,4,OCEANSIDE,2773,205,https://photos.zillowstatic.com/p_d/ISesyhfdvixfac1000000000.jpg,33.253414,-117.249868,32670,1,,Garage - Attached,791083,Mission Vista High School,CA,5878 Ranch View Rd,SingleFamily,1992,92057,16590081
3.0,2,OCEANSIDE,1295,206,https://photos.zillowstatic.com/p_d/ISuk31l0kx5dk91000000000.jpg,33.250534,-117.262635,3998,2,5,Garage - Attached,388766,Mission Vista High School,CA,1509 Goldrush Way,Townhouse,1988,92057,16589591
3.0,5,OCEANSIDE,3058,207,https://photos.zillowstatic.com/p_d/ISadgub1ghu7jk1000000000.jpg,33.243183,-117.249092,10890,2,14,"Garage - Attached, Off-street",699616,Mission Vista High School,CA,1468 Belmont Park Rd,SingleFamily,2005,92057,16592314
3.0,5,OCEANSIDE,2963,208,https://photos.zillowstatic.com/p_d/ISibwv4ha7v7eh0000000000.jpg,33.242969,-117.247388,12555,2,,Garage - Attached,721011,Mission Vista High School,CA,1451 Belmont Park Rd,SingleFamily,2001,92057,16592337
3.0,5,OCEANSIDE,2963,209,https://photos.zillowstatic.com/p_d/ISatkggw2myl671000000000.jpg,33.244084,-117.246732,12196,2,,Garage - Attached,718944,Mission Vista High School,CA,1472 Serene Rd,SingleFamily,2000,92057,16592347
2.0,4,VISTA,1624,210,https://photos.zillowstatic.com/p_d/ISmexdrajsepzr1000000000.jpg,33.241202,-117.250535,23958,1,,Garage - Attached,480276,Mission Vista High School,CA,2342 Bautista Ave,SingleFamily,1959,92084,16597488
3.0,4,Oceanside,1986,211,https://photos.zillowstatic.com/p_d/ISa1zslu708eox1000000000.jpg,33.246105,-117.250007,21780,1,,"Garage - Attached, Garage - Detached",624213,Mission Vista High School,CA,1509 Del Mar Rd,SingleFamily,1988,92057,16588779
2.5,3,OCEANSIDE,1474,212,https://photos.zillowstatic.com/p_d/ISu4vz11nfe74u1000000000.jpg,33.251359,-117.260667,3998,,,,399936,Mission Vista High School,CA,5673 Raintree Way,Townhouse,1986,92057,16589538
2.0,2,OCEANSIDE,1161,213,https://photos.zillowstatic.com/p_d/ISqd3x6q8qr7og1000000000.jpg,33.248102,-117.259951,7501,1,,,424352,Mission Vista High School,CA,1628 Appaloosa Way,SingleFamily,1987,92057,16589267
2.5,4,OCEANSIDE,2673,214,,33.251537,-117.250614,10890,,,,698306,Mission Vista High School,CA,5875 Jeffries Ranch Rd,SingleFamily,1996,92057,16589065
2.0,3,OCEANSIDE,1396,215,https://photos.zillowstatic.com/p_d/ISahzr1ohaolfh0000000000.jpg,33.247946,-117.257899,9147,,,,469680,Mission Vista High School,CA,1583 Mission Meadows Dr,SingleFamily,1984,92057,16588904
2.0,3,Oceanside,1396,216,https://photos.zillowstatic.com/p_d/ISi3eokndw9jyj0000000000.jpg,33.248351,-117.257674,11000,1,,Garage - Attached,540860,Mission Vista High School,CA,1582 Mission Meadows Dr,SingleFamily,1984,92057,16588899
2.0,3,OCEANSIDE,1796,217,https://photos.zillowstatic.com/p_d/IS1rldma5nd8e41000000000.jpg,33.249932,-117.25754,11467,,,Garage - Attached,538392,Mission Vista High School,CA,5691 Paddock Rd,SingleFamily,1984,92057,16588867
2.0,4,OCEANSIDE,1986,218,https://photos.zillowstatic.com/p_d/IS6ilyol1l2jr90000000000.jpg,33.24555,-117.249544,31798,1,14,"Garage - Attached, Off-street, On-street",661021,Mission Vista High School,CA,1501 Del Mar Rd,SingleFamily,1988,92057,16588777
3.0,4,OCEANSIDE,2483,219,https://photos.zillowstatic.com/p_d/ISmexl9uggxv691000000000.jpg,33.25113,-117.254025,18295,2,,Garage - Attached,641772,Mission Vista High School,CA,5837 Jeffries Ranch Rd,SingleFamily,1979,92057,16588405
3.0,4,OCEANSIDE,2866,220,https://photos.zillowstatic.com/p_d/IS62d15k55jb8f1000000000.jpg,33.244494,-117.248362,10047,2,,"Garage - Attached, Off-street",722297,Mission Vista High School,CA,1485 Belmont Park Rd,SingleFamily,2001,92057,52504624
2.5,4,Oceanside,1565,221,https://photos.zillowstatic.com/p_d/IS6uisv85vvsli0000000000.jpg,33.246685,-117.261603,7501,,,,503129,Mission Vista High School,CA,1644 Arabian Way,SingleFamily,1988,92057,16591190
2.0,4,OCEANSIDE,1959,222,,33.247489,-117.252188,10890,1,8,,613732,Mission Vista High School,CA,1655 Shire Ave,SingleFamily,1999,92057,16592073
2.0,3,CARLSBAD,2147,223,https://photos.zillowstatic.com/p_d/ISqhq9jb9wda4h0000000000.jpg,33.08401,-117.250159,21780,1,5,Garage - Attached,1053530,La Costa Canyon High School,CA,2736 Galicia Way,SingleFamily,1978,92009,16660373
2.0,3,CARLSBAD,2316,224,,33.082608,-117.249743,10890,,,Garage - Attached,1089256,La Costa Canyon High School,CA,2780 Galicia Way,SingleFamily,1985,92009,16660418
3.0,4,CARLSBAD,2434,225,https://photos.zillowstatic.com/p_d/ISi7dqkttdehhn0000000000.jpg,33.081632,-117.249421,10890,2,8,Garage - Attached,980410,La Costa Canyon High School,CA,2844 Levante St,SingleFamily,1985,92009,16660423
2.0,3,Carlsbad,1650,226,https://photos.zillowstatic.com/p_d/IS6eeykbih8cyq1000000000.jpg,33.083872,-117.246588,10000,1,,Garage - Attached,883482,La Costa Canyon High School,CA,7619 Galleon Way,SingleFamily,1977,92009,16660703
2.0,3,CARLSBAD,2156,227,https://photos.zillowstatic.com/p_d/ISmqaodllhj2rk1000000000.jpg,33.083261,-117.246514,10890,1,5,Garage - Attached,937871,La Costa Canyon High School,CA,7626 Cortina Ct,SingleFamily,1978,92009,16660718
